ts,balance
2025-08-16T23:04:00+00:00,13570.46985786519
2025-08-17T00:23:00+00:00,13691.969344566814
2025-08-17T07:03:00+00:00,14488.073195442883
2025-08-17T07:55:00+00:00,14450.620678595618
2025-08-17T08:33:00+00:00,14871.556519079024
2025-08-17T13:33:00+00:00,14407.31537398497
2025-08-18T08:00:00+00:00,14958.78161074905
2025-08-18T12:53:00+00:00,14901.519640978191
2025-08-19T07:58:00+00:00,13789.849881657521
2025-08-19T08:11:00+00:00,13387.335289558287
2025-08-19T09:24:00+00:00,13166.773069024528
2025-08-19T09:45:00+00:00,12854.107521318168
2025-08-19T15:18:00+00:00,12597.99238921608
2025-08-19T19:52:00+00:00,13069.075650918388
2025-08-20T10:51:00+00:00,12966.959160183425
2025-08-20T11:50:00+00:00,12580.806707140964
2025-08-20T11:56:00+00:00,12259.234417537493
2025-08-20T16:03:00+00:00,12219.642413364683
2025-08-20T16:37:00+00:00,12242.483851646555
2025-08-21T05:01:00+00:00,12315.321075897857
2025-08-21T12:11:00+00:00,12668.00511912871
2025-08-21T12:46:00+00:00,12570.859187620645
2025-08-22T14:03:00+00:00,12958.090364370164
2025-08-22T14:38:00+00:00,13243.32536475117
2025-08-22T14:38:00+00:00,13521.174803643744
2025-08-22T15:25:00+00:00,13685.5348735705
2025-08-22T16:43:00+00:00,13531.612589024182
2025-08-22T17:27:00+00:00,13464.188712153667
2025-08-22T17:29:00+00:00,13353.2534997394
2025-08-22T19:02:00+00:00,13164.732667911749
2025-08-22T21:01:00+00:00,13000.014429828865
2025-08-23T00:47:00+00:00,12893.719358100225
2025-08-23T04:08:00+00:00,12856.995839951134
2025-08-23T19:55:00+00:00,12612.380179939726
2025-08-23T22:33:00+00:00,12701.23541184638
2025-08-24T00:14:00+00:00,12541.871397809115
2025-08-24T04:03:00+00:00,12325.55788221774
2025-08-24T12:02:00+00:00,12244.834324183386
2025-08-24T12:16:00+00:00,12081.631106411214
2025-08-24T18:16:00+00:00,12363.986063899343
2025-08-24T20:07:00+00:00,12454.422232837927
2025-08-24T20:07:00+00:00,12414.417308315074
2025-08-25T04:28:00+00:00,12469.160113868857
2025-08-25T06:39:00+00:00,12238.84038151424
2025-08-25T07:51:00+00:00,11955.279259139308
2025-08-25T08:17:00+00:00,11673.220051703234
2025-08-25T11:43:00+00:00,11716.813938969819
2025-08-25T17:39:00+00:00,11427.427038049944
2025-08-25T19:01:00+00:00,11643.415423961895
2025-08-26T06:21:00+00:00,11724.79070845802
2025-08-26T08:23:00+00:00,11770.869826666047
2025-08-26T16:01:00+00:00,12244.833744690219
2025-08-26T21:50:00+00:00,12156.896897954946
2025-08-27T00:04:00+00:00,12451.679750796044
2025-08-27T00:17:00+00:00,12458.630375840357
2025-08-27T01:00:00+00:00,12218.209283613092
2025-08-27T07:30:00+00:00,12510.821723832792
2025-08-27T15:25:00+00:00,12422.087598490909
2025-08-27T16:07:00+00:00,13992.40329960178
2025-08-27T17:34:00+00:00,13746.814632349264
2025-08-27T18:10:00+00:00,13665.558015578405
2025-08-27T18:31:00+00:00,13385.87205462472
2025-08-28T00:58:00+00:00,13690.29231031311
2025-08-28T04:10:00+00:00,13633.438712686595
2025-08-28T07:44:00+00:00,13813.28111279216
2025-08-28T09:49:00+00:00,14162.258417477778
2025-08-28T11:07:00+00:00,14254.238269481672
2025-08-28T13:39:00+00:00,13821.763002922464
2025-08-28T14:02:00+00:00,16302.68275954529
2025-08-28T14:18:00+00:00,16289.351211178991
2025-08-28T14:29:00+00:00,16085.414476633285
2025-08-28T15:13:00+00:00,16691.9020507731
2025-08-28T16:20:00+00:00,16321.437173910685
2025-08-29T00:31:00+00:00,17644.957946908155
2025-08-29T03:06:00+00:00,16956.6477429081
2025-08-29T03:52:00+00:00,16780.748324179105
2025-08-29T06:45:00+00:00,16532.145101575516
2025-08-29T10:31:00+00:00,15623.156678148103
2025-08-29T13:03:00+00:00,15511.738466602706
2025-08-30T00:55:00+00:00,15442.054369874311
2025-08-30T08:43:00+00:00,15078.370847420438
2025-08-30T10:09:00+00:00,14795.996057271717
2025-08-30T13:59:00+00:00,15035.866521676498
2025-08-30T19:29:00+00:00,14459.602399793239
2025-08-30T20:38:00+00:00,14028.873881291966
2025-08-31T00:08:00+00:00,13958.627833465602
2025-08-31T00:39:00+00:00,14571.858936073178
2025-08-31T13:21:00+00:00,14792.973111237203
2025-09-02T09:15:00+00:00,14827.679701998182
2025-09-02T13:55:00+00:00,14461.481134818587
2025-09-02T18:17:00+00:00,14159.039304838163
2025-09-06T08:52:00+00:00,14526.931021076616
2025-09-06T14:31:00+00:00,15184.973652689836
2025-09-06T15:12:00+00:00,14941.133687010306
2025-09-08T03:52:00+00:00,14881.43364636451
2025-09-09T00:03:00+00:00,14713.356204823094
2025-09-09T00:09:00+00:00,14500.414927852398
2025-09-09T08:08:00+00:00,15005.602900520236
2025-09-09T10:01:00+00:00,14639.198355187762
2025-09-09T15:18:00+00:00,14475.768471763784
2025-09-10T03:19:00+00:00,15001.458405009707
2025-09-10T04:36:00+00:00,14782.381032078229
2025-09-10T05:06:00+00:00,14756.469467376279
2025-09-10T12:57:00+00:00,14499.888924217274
2025-09-11T04:06:00+00:00,14669.194911093846
2025-09-11T06:58:00+00:00,15836.67786041668
2025-09-11T07:28:00+00:00,17052.75411854636
2025-09-11T07:28:00+00:00,17209.928472755135
2025-09-12T05:22:00+00:00,17607.910553060472
2025-09-12T05:53:00+00:00,19321.331031807975
2025-09-12T17:44:00+00:00,19708.196904100576
2025-09-13T01:45:00+00:00,21726.6631490215
2025-09-13T02:19:00+00:00,21369.864233843775
2025-09-13T03:54:00+00:00,20815.589229693844
2025-09-13T05:01:00+00:00,20615.617150636157
2025-09-13T07:43:00+00:00,20847.343038818955
2025-09-13T08:36:00+00:00,21481.566239860353
2025-09-13T10:38:00+00:00,22086.487145174822
2025-09-13T18:45:00+00:00,22047.898301596648
2025-09-14T01:17:00+00:00,21056.96704443379
2025-09-14T15:33:00+00:00,20318.78097533191
2025-09-15T05:47:00+00:00,20441.248295662335
2025-09-15T06:11:00+00:00,19573.948694968232
2025-09-16T10:08:00+00:00,19286.817357662305
2025-09-16T13:53:00+00:00,19764.628893423935
2025-09-17T13:07:00+00:00,19479.334013407835
2025-09-18T06:09:00+00:00,18670.759306612894
2025-09-18T15:16:00+00:00,19258.04075145366
2025-09-18T16:01:00+00:00,18910.657809113218
2025-09-18T18:05:00+00:00,18902.954592812635
2025-09-19T04:43:00+00:00,20672.10441956024
2025-09-19T04:54:00+00:00,20521.964812461585
2025-09-19T06:08:00+00:00,20494.053541437304
2025-09-19T08:22:00+00:00,20103.60876654786
2025-09-19T14:40:00+00:00,19617.37912789052
2025-09-20T05:03:00+00:00,20011.906815047252
2025-09-20T14:04:00+00:00,19591.667608703905
2025-09-20T14:41:00+00:00,19865.641564791702
2025-09-20T18:38:00+00:00,19646.481153779496
2025-09-20T21:01:00+00:00,20347.763271161733
2025-09-21T01:05:00+00:00,18734.605369193872
2025-09-21T05:41:00+00:00,18428.161920952465
2025-09-21T06:48:00+00:00,18595.9966020776
2025-09-21T09:35:00+00:00,17876.165591469628
2025-09-21T11:52:00+00:00,17951.124327416765
2025-09-21T16:03:00+00:00,17732.720323071782
2025-09-21T22:38:00+00:00,17400.786692070247
2025-09-22T00:32:00+00:00,17736.770690751753
2025-09-22T02:30:00+00:00,17418.465116049338
2025-09-22T06:01:00+00:00,18175.129512761683
2025-09-22T06:02:00+00:00,18618.91984365327
2025-09-22T06:02:00+00:00,19098.079300494326
2025-09-22T09:50:00+00:00,18797.043963311724
2025-09-22T09:50:00+00:00,18855.408912680374
2025-09-22T12:43:00+00:00,18908.636160756792
2025-09-23T08:24:00+00:00,18989.079551147566
2025-09-23T17:33:00+00:00,18654.02226932087
2025-09-24T00:11:00+00:00,18025.786539489527
2025-09-24T10:34:00+00:00,17962.704670688076
2025-09-24T20:44:00+00:00,18304.94417624306
2025-09-24T22:26:00+00:00,18749.87649409327
2025-09-25T07:41:00+00:00,18561.76669506948
2025-09-26T12:09:00+00:00,18597.69325471947
2025-09-27T12:59:00+00:00,19114.626692831644
2025-09-27T15:43:00+00:00,19664.046725493805
2025-09-27T16:13:00+00:00,21560.854847645798
2025-09-28T05:34:00+00:00,21251.50170795269
2025-09-28T12:13:00+00:00,21247.880669594677
2025-09-29T08:53:00+00:00,21694.839734702007
2025-09-29T09:12:00+00:00,21877.843202672364
2025-09-29T09:49:00+00:00,22411.795303008537
2025-09-29T13:36:00+00:00,22076.8395173627
2025-09-30T07:08:00+00:00,20909.30664982729
2025-09-30T09:54:00+00:00,20129.445998044157
2025-09-30T14:01:00+00:00,19670.199742664834
2025-09-30T14:17:00+00:00,19478.455460855937
2025-09-30T14:53:00+00:00,20241.990427293116
2025-09-30T19:54:00+00:00,20268.680867340754
